backbone,classifier,val_acc,test_acc,feature_time_sec,feature_time_sec_rank,train_time_sec,train_time_sec_rank
convnext_tiny,LinearSVC,0.9835,0.939,4019.0,10,309.3,6
convnext_tiny,LogisticRegression,0.9841,0.9484,3922.3,9,21.3,3
efficientnet_b0,LinearSVC,0.01,0.01,1932.5,3,71.1,4
efficientnet_b0,LogisticRegression,0.01,0.01,1987.2,4,0.7,1
efficientnet_b1,LinearSVC,0.01,0.01,2682.0,5,71.1,5
efficientnet_b1,LogisticRegression,0.01,0.01,2759.2,6,0.7,2
resnet18,LinearSVC,0.1851,0.182,1837.4,2,1273.9,9
resnet18,LogisticRegression,0.2044,0.1982,1829.9,1,672.9,7
resnet34,LinearSVC,0.1369,0.1388,3009.4,8,1728.4,11
resnet34,LogisticRegression,0.138,0.1334,2976.5,7,767.7,8
resnet50,LinearSVC,0.1136,0.1078,4944.0,12,13660.0,12
resnet50,LogisticRegression,0.156,0.1572,4889.1,11,1686.4,10
