backbone,classifier,val_acc,test_acc,feature_time_sec,feature_time_sec_rank,train_time_sec,train_time_sec_rank
convnext_tiny,LinearSVC,0.9835,0.939,3956.5,9,296.5,7
convnext_tiny,LogisticRegression,0.9841,0.9484,3960.6,10,21.2,3
efficientnet_b0,LinearSVC,0.9578,0.919,1944.7,4,3679.6,12
efficientnet_b0,LogisticRegression,0.9629,0.925,1922.1,3,17.8,2
efficientnet_b1,LinearSVC,0.9663,0.9256,2512.9,5,747.1,10
efficientnet_b1,LogisticRegression,0.9708,0.9344,2639.5,6,17.5,1
resnet18,LinearSVC,0.8699,0.8326,1898.4,2,533.4,9
resnet18,LogisticRegression,0.9048,0.8704,1873.9,1,92.8,6
resnet34,LinearSVC,0.9137,0.8568,3068.2,8,400.4,8
resnet34,LogisticRegression,0.9403,0.8866,3061.1,7,57.3,5
resnet50,LinearSVC,0.9708,0.9328,4998.4,11,1320.1,11
resnet50,LogisticRegression,0.9745,0.9446,5025.7,12,42.4,4
