backbone,classifier,val_acc,test_acc,feature_time_sec,feature_time_sec_rank,train_time_sec,train_time_sec_rank
convnext_tiny,LinearSVC,0.4497,0.4324,194.9,5,1228.4,8
convnext_tiny,LogisticRegression,0.4579,0.4418,195.5,6,141.2,1
efficientnet_b0,LinearSVC,0.2485,0.2382,240.9,10,3578.9,11
efficientnet_b0,LogisticRegression,0.2605,0.247,240.5,9,305.5,4
efficientnet_b1,LogisticRegression,0.2217,0.209,305.1,11,1276.0,9
resnet18,LinearSVC,0.3404,0.3254,158.7,1,304.4,3
resnet18,LogisticRegression,0.3408,0.3254,160.2,2,211.2,2
resnet34,LinearSVC,0.3611,0.3306,178.0,3,491.4,7
resnet34,LogisticRegression,0.3528,0.332,180.0,4,486.5,6
resnet50,LinearSVC,0.2806,0.273,208.3,7,2868.4,10
resnet50,LogisticRegression,0.3389,0.3326,210.3,8,370.7,5
