backbone,classifier,val_acc,test_acc,feature_time_sec,feature_time_sec_rank,train_time_sec,train_time_sec_rank
convnext_tiny,LinearSVC,0.4495,0.4324,76.9,2,537.7,9
convnext_tiny,LogisticRegression,0.4579,0.4422,77.6,7,20.8,1
efficientnet_b0,LinearSVC,0.2485,0.2382,77.8,9,1312.7,10
efficientnet_b0,LogisticRegression,0.2609,0.246,78.4,12,45.5,3
efficientnet_b1,LinearSVC,0.1969,0.1922,78.2,11,9618.4,12
efficientnet_b1,LogisticRegression,0.2221,0.2084,77.4,5,223.6,8
resnet18,LinearSVC,0.3405,0.3252,76.5,1,142.5,6
resnet18,LogisticRegression,0.3415,0.3254,77.7,8,30.7,2
resnet34,LinearSVC,0.3614,0.3306,77.3,4,206.0,7
resnet34,LogisticRegression,0.3514,0.3306,76.9,3,58.4,4
resnet50,LinearSVC,0.2802,0.2728,77.5,6,1467.4,11
resnet50,LogisticRegression,0.3396,0.3322,77.8,10,75.3,5
